frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
36, 0, 0.000, 0.98, 1, 0.81, 1.44, -1.60, 1.74, -1.75, -1.63, -0.49, -2.14, -0.64, -0.41, -0.68, -0.17, 0.02, 0.74, 0.45, 0.46, 0.28, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
37, 0, 0.000, 0.88, 1, 1.60, 0.64, -0.63, -0.47, 0.53, 0.00, 1.58, 1.16, 0.96, 1.91, 2.15, 1.47, 2.22, 1.29, 1.89, -0.60, 0.09, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0
38, 0, 0.000, 0.85, 1, -2.21, 1.32, -0.22, 0.02, -0.16, 0.75, 1.13, -0.34, -0.14, 0.12, 0.64, 0.29, -0.80, 1.87, 2.71, -1.20, 0.99, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0
39, 0, 0.000, 0.92, 1, 1.65, 1.98, -0.02, 0.80, -1.30, 0.92, 0.70, -0.32, -0.74, -0.29, 0.69, 1.69, 0.42, 2.25, 1.90, 1.40, 2.49, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0
40, 0, 0.000, 0.98, 1, 1.63, 2.03, -2.04, -1.34, 0.43, 0.12, 0.06, 1.22, 0.19, 0.29, 4.37, 3.40, 5.69, -0.99, 0.84, -1.35, -0.59, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0
41, 0, 0.000, 0.98, 1, 0.37, -1.53, -0.19, 1.32, -0.75, -0.04, 0.76, -0.33, -1.09, -2.02, 1.62, 2.95, 0.22, 3.69, 0.13, 4.19, 0.24, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0
42, 0, 0.000, 0.88, 1, 0.69, 2.11, -0.20, 1.90, 0.53, 0.35, -0.74, 1.04, 1.16, 0.79, -0.52, 1.41, -0.75, 1.61, 1.73, 1.83, -0.25, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0
43, 0, 0.000, 0.78, 1, -1.74, -0.31, 0.17, -0.31, -0.11, -0.39, 2.73, 0.44, -0.90, -1.67, -0.56, 2.68, 1.06, 2.26, 1.58, -2.70, 0.04, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
44, 0, 0.000, 0.88, 1, 1.45, 1.43, -0.75, 1.38, 0.64, 1.27, 0.56, 1.16, 1.05, 1.33, 1.35, 1.54, 0.08, 2.98, 0.94, -0.04, -1.71, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0
45, 0, 0.000, 0.98, 1, 0.89, 0.67, 0.62, 0.21, -0.95, -0.22, 0.14, -1.77, -0.18, -1.18, 3.13, 2.34, 1.35, 1.68, -0.75, 0.26, 0.19, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0
